"18,52",32.csv
"31,58",33.csv
"52,6",34.csv
"52,58",35.csv
"31,6,52,66",36.csv
"16,11",37.csv
"16,45",38.csv
"16,52",39.csv
"16,59",40.csv
"16,66",41.csv
"16,68",42.csv
"16,81",43.csv
"35,6",44.csv
"45,58",45.csv
"16,18,66",46.csv
"16,31,66",47.csv
"16,6,33,52",48.csv
"16,6,59,66",49.csv
"16,31,33",50.csv
"16,6",51.csv
"16,33",52.csv
"16,39",53.csv
"16,53",54.csv
"16,58",55.csv
"16,62",56.csv
"56,81",57.csv
"16,6,53",58.csv
"16,31,62",59.csv
"16,31,81",60.csv
"16,39,62",61.csv
"16,52,58",62.csv
"16,59,62",63.csv
"52,54,81",64.csv
"16,31,53,81",65.csv
"31,6,52,66",66.csv
"16,52,56,58,81",67.csv
"16,54,84",68.csv
"16,52,68",69.csv
"53,58,59,66",70.csv
"18,58,6",71.csv
"35,52",72.csv
"54,56",73.csv
"18,31",74.csv
"18,33",75.csv
"18,35",76.csv
"18,39",77.csv
"31,33",78.csv
"31,35",79.csv
"31,39",80.csv
"31,45",81.csv
"33,35",82.csv
"33,39",83.csv
"33,45",84.csv
"33,52",85.csv
"33,68",86.csv
"33,35,39",87.csv
"35,39",88.csv
"39,45",89.csv
"39,52",90.csv
"39,68",91.csv
"45,52",92.csv
"45,52,54",93.csv
"52,68",94.csv
"16,52",95.csv
"16,18",96.csv
"16,66",97.csv
"16,35",98.csv
"16,39",99.csv
"16,54",100.csv
"16,59",101.csv
"16,53",102.csv
"16,68",103.csv
"16,58",104.csv
"16,62",105.csv
"16,56",106.csv
"16,6",107.csv
"16,84",108.csv
"16,81",109.csv
"16,11",110.csv
"16,52,18",111.csv
"16,6,18",112.csv
"16,35,68",113.csv
"52,18",114.csv
"52,66",115.csv
"52,35",116.csv
"52,39",117.csv
"52,54",118.csv
"52,59",119.csv
"52,53",120.csv
"52,68",121.csv
"52,58",122.csv
"52,62",123.csv
"52,56",124.csv
"52,6",125.csv
"52,84",126.csv
"52,81",127.csv
"52,11",128.csv
"52,18,66",129.csv
"52,35,66",130.csv
"52,39,68",131.csv
"52,56,68",132.csv
"52,6,18",133.csv
"52,11,16",134.csv
"16,18,66",135.csv
"18,66",136.csv
"18,58",137.csv
"18,84",138.csv
"18,11",139.csv
"18,59",140.csv
"18,68",141.csv
"18,54",142.csv
"18,81",143.csv
"18,6,62",144.csv
"18,6",145.csv
"18,53",146.csv
"18,11,52",147.csv
"18,66,6",148.csv
"18,31,6",149.csv
"18,16,35",150.csv
"31,66",151.csv
"31,58",152.csv
"31,84",153.csv
"31,11",154.csv
"31,59",155.csv
"31,68",156.csv
"31,54",157.csv
"31,81",158.csv
"61,6,62",159.csv
"31,6",160.csv
"31,53",161.csv
"31,35,52",162.csv
"31,16,52",163.csv
"31,18,58",164.csv
"31,16,58",165.csv
"33,66",166.csv
"33,58",167.csv
"33,84",168.csv
"33,11",169.csv
"33,59",170.csv
"33,68",171.csv
"33,54",172.csv
"33,81",173.csv
"33,6,62",174.csv
"33,6",175.csv
"41,66",176.csv
"58,35",177.csv
"58,84",178.csv
"58,11",179.csv
"58,62",180.csv
"58,68",181.csv
"58,54",182.csv
"58,81",183.csv
"58,6,62",184.csv
"58,6",185.csv
"58,39",186.csv
"56,6",187.csv
"56,11",188.csv
"56,81",189.csv
"56,84",190.csv
"56,66",191.csv
"56,68",192.csv
"56,53",193.csv
"56,39",194.csv
"56,18",195.csv
"56,31",196.csv
"56,33",197.csv
"56,58",198.csv
"66,6",199.csv
"66,11",200.csv
"66,81",201.csv
"66,84",202.csv
"66,56",203.csv
"66,68",204.csv
"66,53",205.csv
"66,39",206.csv
"68,6",207.csv
"68,11",208.csv
"68,81",209.csv
"68,84",210.csv
"68,56",211.csv
"68,66",212.csv
"68,53",213.csv
"68,39",214.csv
"53,6",215.csv
"53,11",216.csv
"53,81",217.csv
"53,84",218.csv
"53,56",219.csv
"53,68",220.csv
"53,66",221.csv
"53,33",222.csv
"53,58",223.csv
"52,16,31",224.csv
"52,18,33",225.csv
"52,18,35",226.csv
"52,18,56",227.csv
"52,18,54",228.csv
"52,18,11",229.csv
"52,18,58",230.csv
"52,33,68",231.csv
